Name	        Accession	RPM	Chrmsm	Start	          End	      Strand Confidence
hsa-mir-3196	MI0014241	23	chr20	63238779	63238842	+	-
hsa-mir-3156-3	MI0014242	8	chr21	13406384	13406460	-	-
hsa-mir-548x	MI0014244	59	chr21	18686090	18686164	-	High
hsa-mir-3197	MI0014245	13	chr21	41167557	41167629	+	-
hsa-mir-3198-1	MI0014246	19	chr22	17764180	17764259	-	-
hsa-mir-3199-1	MI0014247	70	chr22	27920525	27920612	-	-
hsa-mir-3199-2	MI0014248	73	chr22	27920526	27920611	+	Low
hsa-mir-3200	MI0014249	69	chr22	30731557	30731641	+	High
hsa-mir-3201	MI0014250	1	chr22	48274364	48274415	+	-
hsa-mir-514b	MI0014251	114	chrX	147250151	147250230	-	High
hsa-mir-3202-1	MI0014252	59	chrX	153981097	153981177	+	-
hsa-mir-3202-2	MI0014253	57	chrX	153981098	153981176	-	-
hsa-mir-4295	MI0015822	0	chr10	112634170	112634254	+	-
hsa-mir-4296	MI0015823	1	chr10	125032783	125032870	-	-
hsa-mir-4297	MI0015824	0	chr10	129843299	129843374	-	-
hsa-mir-378c	MI0015825	4181	chr10	130962588	130962668	-	-
hsa-mir-4293	MI0015826	0	chr10	14383200	14383277	-	-
hsa-mir-4294	MI0015827	0	chr10	48985512	48985587	-	-
hsa-mir-4301	MI0015828	0	chr11	113450023	113450088	-	-
hsa-mir-4299	MI0015829	0	chr11	11656651	11656722	-	-
hsa-mir-4298	MI0015830	127	chr11	1859464	         1859536	-	-
hsa-mir-4300	MI0015831	0	chr11	81890741	81890836	-	-
hsa-mir-4304	MI0015832	0	chr12	123010667	123010728	-	-
hsa-mir-4302	MI0015833	0	chr12	25874020	25874079	-	-
hsa-mir-4303	MI0015834	0	chr12	97995383	97995448	-	-
hsa-mir-4305	MI0015835	1	chr13	39664034	39664135	-	-
hsa-mir-4306	MI0015836	26	chr13	99643059	99643149	+	-
hsa-mir-4309	MI0015837	0	chr14	102539644	102539726	+	-
hsa-mir-4307	MI0015838	0	chr14	26908642	26908725	+	-
hsa-mir-4308	MI0015839	0	chr14	54878113	54878193	-	-
hsa-mir-4310	MI0015840	0	chr15	41866495	41866551	-	-
hsa-mir-4311	MI0015841	0	chr15	66040233	66040332	+	-
hsa-mir-4312	MI0015842	19	chr15	68801850	68801925	-	-
hsa-mir-4313	MI0015843	0	chr15	75762215	75762315	-	-
hsa-mir-4315-1	MI0015844	4	chr17	45475363	45475435	-	-
hsa-mir-4316	MI0015845	0	chr17	77396984	77397054	-	-
hsa-mir-4314	MI0015846	0	chr17	8088056	         8088147	+	-
hsa-mir-4318	MI0015847	0	chr18	37657135	37657215	+	-
hsa-mir-4319	MI0015848	0	chr18	44970082	44970166	-	-
hsa-mir-4320	MI0015849	1	chr18	50126499	50126563	-	-
hsa-mir-4317	MI0015850	1	chr18	6374361	         6374425	-	-
hsa-mir-4322	MI0015851	7	chr19	10230413	10230485	+	-
hsa-mir-4321	MI0015852	0	chr19	2250639	         2250718	+	-
hsa-mir-4323	MI0015853	0	chr19	42133445	42133513	-	-
hsa-mir-4324	MI0015854	22	chr19	49308797	49308868	-	-
hsa-mir-4256	MI0015855	0	chr1	112461770	112461833	-	-
hsa-mir-4257	MI0015856	0	chr1	150551929	150552014	+	-
hsa-mir-4258	MI0015857	0	chr1	154975693	154975783	+	-
hsa-mir-4259	MI0015858	7	chr1	159899979	159900079	-	-
hsa-mir-4260	MI0015859	0	chr1	209623444	209623510	-	-
hsa-mir-4253	MI0015860	0	chr1	22863159	22863226	-	-
hsa-mir-4251	MI0015861	0	chr1	3127975	         3128035	+	-
hsa-mir-4254	MI0015862	9	chr1	31758660	31758735	-	-
hsa-mir-4255	MI0015863	0	chr1	37161563	37161634	+	-
hsa-mir-4252	MI0015864	0	chr1	6429834	         6429896	-	-
hsa-mir-4325	MI0015865	0	chr20	57321502	57321591	-	-
hsa-mir-4326	MI0015866	30	chr20	63286808	63286866	+	-
hsa-mir-4327	MI0015867	0	chr21	30375294	30375378	-	-
hsa-mir-4261	MI0015868	0	chr2	10192614	10192671	-	-
hsa-mir-4265	MI0015869	0	chr2	109141490	109141588	-	-
hsa-mir-4266	MI0015870	0	chr2	109313571	109313625	-	-
hsa-mir-4267	MI0015871	0	chr2	110069961	110070042	-	-
hsa-mir-4262	MI0015872	0	chr2	11836933	11836986	-	-
hsa-mir-2355	MI0015873	107	chr2	207109987	207110073	-	-
hsa-mir-4268	MI0015874	0	chr2	219906502	219906565	-	-
hsa-mir-4269	MI0015875	0	chr2	239305462	239305545	+	-
hsa-mir-4263	MI0015876	0	chr2	27996367	27996449	+	-
hsa-mir-4264	MI0015877	0	chr2	79649294	79649359	-	-
hsa-mir-4270	MI0015878	0	chr3	15496239	15496308	-	-
hsa-mir-4271	MI0015879	4	chr3	49274120	49274186	+	-
hsa-mir-4272	MI0015880	0	chr3	67225464	67225527	+	-
hsa-mir-4273	MI0015881	0	chr3	75738280	75738363	+	-
hsa-mir-4276	MI0015882	0	chr4	174423795	174423864	+	-
hsa-mir-4275	MI0015883	0	chr4	28819582	28819668	+	-
hsa-mir-4274	MI0015884	0	chr4	7460028	         7460118	+	-
hsa-mir-4281	MI0015885	3	chr5	176629439	176629500	-	-
hsa-mir-4277	MI0015886	0	chr5	1708785	         1708868	-	-
hsa-mir-4279	MI0015887	8	chr5	31936102	31936159	-	-
hsa-mir-4278	MI0015888	-	chr5	6827853	         6827921	-	-
hsa-mir-4280	MI0015889	0	chr5	87114879	87114954	-	-
hsa-mir-4282	MI0015890	0	chr6	72967687	72967753	-	-
hsa-mir-4285	MI0015891	3	chr7	102293103	102293187	+	-
hsa-mir-4283-1	MI0015892	0	chr7	56955785	56955864	-	-
hsa-mir-4284	MI0015893	69	chr7	73711317	73711397	+	-
hsa-mir-4286	MI0015894	195	chr8	10666978	10667070	+	-
hsa-mir-4287	MI0015895	0	chr8	27886039	27886116	-	-
hsa-mir-4288	MI0015896	0	chr8	28505116	28505182	-	-
hsa-mir-4292	MI0015897	3	chr9	136830957	136831023	+	-
hsa-mir-4289	MI0015898	4	chr9	88745836	88745905	-	-
hsa-mir-4290	MI0015899	0	chr9	90023441	90023535	-	-
hsa-mir-4291	MI0015900	0	chr9	93819357	93819421	+	-
hsa-mir-4329	MI0015901	0	chrX	112780718	112780788	-	-
hsa-mir-4330	MI0015902	0	chrX	151168222	151168326	+	-
hsa-mir-500b	MI0015903	127	chrX	50010672	50010750	+	-
hsa-mir-4328	MI0015904	7	chrX	78901194	78901249	-	-
hsa-mir-1184-2	MI0015971	1	chrX	155383100	155383198	-	-
hsa-mir-1184-3	MI0015972	1	chrX	155457517	155457615	+	-
hsa-mir-1233-2	MI0015973	7	chr15	34528290	34528371	-	-
hsa-mir-1244-2	MI0015974	16	chr5	118974586	118974670	+	-
hsa-mir-1244-3	MI0015975	16	chr12	9239467	         9239551	-	-
hsa-mir-1972-2	MI0015977	174	chr16	70030346	70030422	+	-
hsa-mir-1302-9	MI0015978	9	chr9	30144	           30281	+	-
hsa-mir-1302-10	MI0015979	9	chr15	101960459	101960596	-	-
hsa-mir-1302-11	MI0015980	9	chr19	71973	           72110	+	-
hsa-mir-4283-2	MI0015982	0	chr7	63621090	63621169	+	-
hsa-mir-4315-2	MI0015983	4	chr17	64822030	64822102	-	-
hsa-mir-3605	MI0015995	62	chr1	33332393	33332492	-	High
hsa-mir-3606	MI0015996	128	chr2	188995630	188995692	+	-
hsa-mir-3609	MI0015999	416	chr7	98881650	98881729	+	-
hsa-mir-3610	MI0016000	193	chr8	116874728	116874800	-	-
hsa-mir-3611	MI0016001	51	chr10	35079598	35079680	-	-
hsa-mir-3612	MI0016002	13	chr12	128294092	128294178	+	-
hsa-mir-3613	MI0016003	146	chr13	49996415	49996501	-	High
hsa-mir-3614	MI0016004	107	chr17	56891270	56891355	-	High
hsa-mir-3615	MI0016005	165	chr17	74748613	74748699	+	-
hsa-mir-3616	MI0016006	51	chr20	47166967	47167058	+	High
hsa-mir-3617	MI0016007	13	chr20	45705102	45705180	-	High
hsa-mir-3618	MI0016008	35	chr22	20085746	20085833	+	-
hsa-mir-3619	MI0016009	26	chr22	46091044	46091126	+	High
hsa-mir-23c	MI0016010	36	chrX	20017088	20017187	-	-
hsa-mir-3620	MI0016011	36	chr1	228097263	228097341	+	High
hsa-mir-3621	MI0016012	1	chr9	137169186	137169270	-	-
hsa-mir-3622a	MI0016013	306	chr8	27701677	27701759	+	High
hsa-mir-3622b	MI0016014	13	chr8	27701673	27701767	-	-
hsa-mir-3646	MI0016046	1	chr20	44408120	44408203	+	-
hsa-mir-3648-1	MI0016048	1047	chr21	8208473	         8208652	+	Low
hsa-mir-3649	MI0016049	0	chr12	1660315	         1660380	-	-
hsa-mir-3650	MI0016050	0	chr5	38557502	38557561	-	-
hsa-mir-3651	MI0016051	106	chr9	92292458	92292547	-	-
hsa-mir-3652	MI0016052	26	chr12	103930425	103930555	+	-
hsa-mir-3654	MI0016054	34	chr7	133034860	133034915	-	-
hsa-mir-3655	MI0016055	14	chr5	140647844	140647926	+	-
hsa-mir-3657	MI0016057	58	chr12	112037599	112037715	-	-
hsa-mir-3658	MI0016058	159	chr1	165907921	165907976	+	-
hsa-mir-3659	MI0016060	11	chr1	38089231	38089329	+	-
hsa-mir-3660	MI0016061	23	chr5	90016621	90016720	-	-
hsa-mir-3661	MI0016062	7	chr5	134225757	134225852	+	-
hsa-mir-3662	MI0016063	26	chr6	134979338	134979432	-	-
hsa-mir-3663	MI0016064	9	chr10	117167678	117167774	-	High
hsa-mir-3664	MI0016065	28	chr11	70872270	70872368	-	High
hsa-mir-3665	MI0016066	146	chr13	77698012	77698116	-	-
hsa-mir-3666	MI0016067	0	chr7	114653345	114653455	+	-
hsa-mir-3667	MI0016068	33	chr22	49543393	49543466	-	-
hsa-mir-3668	MI0016069	0	chr6	140205252	140205326	+	-
hsa-mir-3670-1	MI0016071	1	chr16	14907717	14907781	+	-
hsa-mir-3671	MI0016072	0	chr1	65057755	65057842	-	-
hsa-mir-3672	MI0016073	2	chrX	121370972	121371053	+	-
hsa-mir-3674	MI0016075	1	chr8	1801125	         1801192	+	-
hsa-mir-3675	MI0016076	2	chr1	16858949	16859021	-	-
hsa-mir-3677	MI0016078	27	chr16	2270713	         2270772	+	High
hsa-mir-3678	MI0016079	12	chr17	75406069	75406162	+	-
hsa-mir-3679	MI0016080	18	chr2	134127125	134127192	+	-
hsa-mir-3680-1	MI0016081	27	chr16	21506049	21506135	-	-
hsa-mir-3681	MI0016082	2	chr2	12199130	12199201	+	-
hsa-mir-3682	MI0016083	9	chr2	53849122	53849205	-	-
hsa-mir-3683	MI0016084	0	chr7	7066964	         7067045	-	-
hsa-mir-3684	MI0016085	8	chr4	98997387	98997460	+	-
hsa-mir-3685	MI0016086	5	chr12	95309923	95309984	+	-
hsa-mir-3686	MI0016087	0	chr8	129484057	129484142	-	-
hsa-mir-3688-1	MI0016089	1524	chr4	159128802	159128894	-	High
hsa-mir-3689a	MI0016090	7	chr9	134849487	134849564	-	-
hsa-mir-3690-1	MI0016091	19	chrX	1293918	         1293992	+	-
hsa-mir-3691	MI0016092	51	chr6	5148233	         5148322	-	-
hsa-mir-3692	MI0016093	6	chr6	157529132	157529200	+	-
hsa-mir-3714	MI0016135	0	chr3	16933196	16933260	+	-
hsa-mir-3180-4	MI0016408	103	chr16	15154850	15155002	-	-
hsa-mir-3180-5	MI0016409	103	chr16	2135977	         2136129	-	-
hsa-mir-3907	MI0016410	360	chr7	151433489	151433639	-	-
hsa-mir-3689b	MI0016411	5	chr9	134850125	134850272	-	-
hsa-mir-3908	MI0016412	66	chr12	123536409	123536534	+	-
hsa-mir-3909	MI0016413	38	chr22	35335640	35335758	+	-
hsa-mir-3910-1	MI0016414	30	chr9	91636251	91636361	+	-
hsa-mir-3911	MI0016415	11	chr9	127690687	127690795	-	-
hsa-mir-3912	MI0016416	61	chr5	171386656	171386760	-	Low
hsa-mir-3913-1	MI0016417	77	chr12	69584722	69584823	-	-
hsa-mir-3913-2	MI0016418	75	chr12	69584723	69584822	+	-
hsa-mir-3914-1	MI0016419	6	chr7	71307672	71307770	-	-
hsa-mir-3915	MI0016420	9	chrX	32583656	32583752	-	-
hsa-mir-3914-2	MI0016421	4	chr7	71307674	71307768	+	-
hsa-mir-3916	MI0016422	346	chr1	247201967	247202060	-	-
hsa-mir-3917	MI0016423	55	chr1	25906362	25906454	-	-
hsa-mir-3918	MI0016424	6	chr6	158764661	158764753	-	-
hsa-mir-3919	MI0016425	4	chr3	159282646	159282734	+	-
hsa-mir-3150b	MI0016426	54	chr8	95072911	95072996	-	-
hsa-mir-3920	MI0016427	1	chr11	101519820	101519905	-	-
hsa-mir-3921	MI0016428	5	chr3	99964314	99964398	-	-
hsa-mir-3922	MI0016429	17	chr12	104591633	104591716	+	-
hsa-mir-3923	MI0016430	7	chr3	79507887	79507969	+	-
hsa-mir-3910-2	MI0016431	30	chr9	91636264	91636345	-	-
hsa-mir-3924	MI0016432	1	chr10	57304479	57304559	-	-
hsa-mir-3925	MI0016433	4	chr6	36622436	36622512	-	-
hsa-mir-3926-1	MI0016434	17	chr8	12727232	12727304	-	-
hsa-mir-3927	MI0016435	3	chr9	109511475	109511545	-	-
hsa-mir-676	MI0016436	25	chrX	70022857	70022923	+	High
hsa-mir-3926-2	MI0016437	17	chr8	12727237	12727299	+	-
hsa-mir-3928	MI0016438	72	chr22	31160062	31160119	-	High
hsa-mir-3929	MI0016439	697	chr18	35934088	35934142	-	-
hsa-mir-3934	MI0016590	48	chr6	33698128	33698234	+	-
hsa-mir-3935	MI0016591	15	chr16	56245520	56245623	+	-
hsa-mir-3936	MI0016592	5	chr5	132365490	132365599	-	-
hsa-mir-3937	MI0016593	2	chrX	39661216	39661321	+	-
hsa-mir-3938	MI0016594	20	chr3	55852492	55852594	-	-
hsa-mir-548y	MI0016595	88	chr14	47760995	47761104	-	-
hsa-mir-3939	MI0016596	11	chr6	166997807	166997912	-	High
hsa-mir-3940	MI0016597	25	chr19	6416410 	6416511	-	High
hsa-mir-3941	MI0016598	11	chr10	122416965	122417067	+	-
hsa-mir-3942	MI0016599	20	chr15	35372256	35372364	-	High
hsa-mir-3943	MI0016600	10	chr7	43150895	43150994	+	-
hsa-mir-3944	MI0016601	16	chr10	133371556	133371663	-	High
hsa-mir-3945	MI0016602	6	chr4	184851013	184851110	-	-
hsa-mir-374c	MI0016684	65	chrX	74218549	74218618	+	-
hsa-mir-642b	MI0016685	16	chr19	45674932	45675008	-	High
hsa-mir-550b-1	MI0016686	24	chr7	30289794	30289890	-	-
hsa-mir-550b-2	MI0016687	24	chr7	32732981	32733077	-	-
hsa-mir-548z	MI0016688	126	chr12	64622509	64622605	-	-
hsa-mir-548aa-1	MI0016689	103	chr8	123348034	123348130	+	-
hsa-mir-548aa-2	MI0016690	109	chr17	67471489	67471585	+	-
hsa-mir-548o-2	MI0016746	116	chr20	38516563	38516632	+	High
hsa-mir-1268b	MI0016748	136	chr17	80098828	80098877	+	-
hsa-mir-378d-1	MI0016749	3385	chr4	5923275  	5923328	        -	-
hsa-mir-378e	MI0016750	246	chr5	170028488	170028566	+	-
hsa-mir-548h-5	MI0016751	48	chr6	131792172	131792231	+	-
hsa-mir-548ab	MI0016752	71	chr3	103524033	103524116	-	-
hsa-mir-4418	MI0016754	0	chr1	22266239	22266300	+	-
hsa-mir-378f	MI0016756	31	chr1	23929070	23929147	+	-
hsa-mir-4420	MI0016757	17	chr1	30739156	30739232	-	-
hsa-mir-4421	MI0016758	22	chr1	51059837	51059905	+	-
hsa-mir-4422	MI0016759	14	chr1	55225641	55225723	+	-
hsa-mir-4423	MI0016760	246	chr1	85133794	85133873	+	High
hsa-mir-548ac	MI0016762	34	chr1	116560024	116560111	-	-
hsa-mir-4424	MI0016763	9	chr1	178677749	178677834	+	-
hsa-mir-4425	MI0016764	48	chr1	25023503	25023586	+	-
hsa-mir-4426	MI0016765	25	chr1	192716328	192716390	+	-
hsa-mir-4427	MI0016766	10	chr1	233624152	233624219	+	-
hsa-mir-4428	MI0016767	5	chr1	237471119	237471191	+	-
hsa-mir-4429	MI0016768	25	chr2	11540605	11540677	-	-
hsa-mir-4430	MI0016769	35	chr2	33418516	33418564	+	-
hsa-mir-548ad	MI0016770	151	chr2	35471405	35471486	+	-
hsa-mir-4431	MI0016771	23	chr2	52702522	52702615	-	-
hsa-mir-4432	MI0016772	0	chr2	60387362	60387445	-	-
hsa-mir-4433a	MI0016773	7	chr2	64340759	64340839	+	-
hsa-mir-4434	MI0016774	3	chr2	64525513	64525565	+	-
hsa-mir-4435-1	MI0016775	12	chr2	87629755	87629834	+	-
hsa-mir-4436a	MI0016776	7	chr2	88812370	88812454	+	-
hsa-mir-4435-2	MI0016777	12	chr2	111321013	111321086	-	-
hsa-mir-4437	MI0016778	9	chr2	181305593	181305652	-	-
hsa-mir-548ae-1	MI0016779	40	chr2	184378975	184379044	+	-
hsa-mir-548ae-2	MI0016780	150	chr5	58530043	58530109	-	High
hsa-mir-4438	MI0016781	1	chr2	213758067	213758159	+	-
hsa-mir-4439	MI0016782	1	chr2	225010461	225010540	-	-
hsa-mir-4440	MI0016783	7	chr2	239068817	239068914	-	-
hsa-mir-4441	MI0016784	0	chr2	239085827	239085926	-	-
hsa-mir-4442	MI0016785	39	chr3	25664873	25664939	-	-
hsa-mir-4443	MI0016786	1181	chr3	48196564	48196616	+	-
hsa-mir-4444-1	MI0016787	117	chr2	177212726	177212799	+	-
hsa-mir-4445	MI0016788	2	chr3	109602828	109602897	+	-
hsa-mir-4446	MI0016789	17	chr3	113594876	113594942	+	-
hsa-mir-4447	MI0016790	1	chr3	116850277	116850367	-	-
hsa-mir-4448	MI0016791	13	chr3	183886800	183886885	+	-
hsa-mir-4449	MI0016792	260	chr4	52712682	52712747	+	-
hsa-mir-548ag-1	MI0016793	8	chr4	60922619	60922684	+	-
hsa-mir-548ag-2	MI0016794	24	chr20	60564562	60564625	+	-
hsa-mir-4450	MI0016795	5	chr4	76573568	76573632	+	-
hsa-mir-548ah	MI0016796	15	chr4	76575551	76575626	+	-
hsa-mir-4451	MI0016797	13	chr4	85722468	85722533	+	-
hsa-mir-4452	MI0016798	9	chr4	86542482	86542552	-	-
hsa-mir-4453	MI0016799	10	chr4	152536428	152536516	+	-
hsa-mir-4454	MI0016800	349	chr4	163093574	163093628	-	-
hsa-mir-4455	MI0016801	2	chr4	184938383	184938440	-	-
hsa-mir-4457	MI0016803	10	chr5	1309310	         1309377	-	-
hsa-mir-4458	MI0016804	13	chr5	8460925	         8460999	+	-
hsa-mir-4460	MI0016806	5	chr5	129397062	129397147	-	-
hsa-mir-378h	MI0016808	4	chr5	154829458	154829540	+	-
hsa-mir-3135b	MI0016809	77	chr6	32749912	32749979	-	-
hsa-mir-4462	MI0016810	0	chr6	37555365	37555422	-	-
hsa-mir-4463	MI0016811	4	chr6	75428407	75428473	+	-
hsa-mir-4464	MI0016812	22	chr6	90312742	90312833	+	-
hsa-mir-548ai	MI0016813	31	chr6	99124609	99124696	+	-
hsa-mir-548aj-1	MI0016814	26	chr6	132115192	132115263	-	-
hsa-mir-548aj-2	MI0016815	131	chrX	38023895	38023986	-	-
hsa-mir-4465	MI0016816	0	chr6	140683814	140683883	+	-
hsa-mir-4466	MI0016817	15	chr6	156779678	156779731	-	-
hsa-mir-4467	MI0016818	25	chr7	102471469	102471531	+	-
hsa-mir-4468	MI0016819	8	chr7	138123758	138123821	+	-
hsa-mir-4469	MI0016820	7	chr8	42896197	42896275	-	-
hsa-mir-4470	MI0016821	57	chr8	61714788	61714859	+	-
hsa-mir-4471	MI0016822	2	chr8	100382763	100382845	+	-
hsa-mir-4472-1	MI0016823	0	chr8	142176339	142176418	+	-
hsa-mir-4472-2	MI0016824	319	chr12	116428252	116428318	-	-
hsa-mir-4473	MI0016825	58	chr9	20411148	20411238	-	-
hsa-mir-4474	MI0016826	9	chr9	20502265	20502342	-	-
hsa-mir-4475	MI0016827	4	chr9	36823539	36823599	-	-
hsa-mir-4476	MI0016828	23	chr9	36893462	36893531	-	-
hsa-mir-4477a	MI0016829	14	chr9	41233755	41233835	+	-
hsa-mir-4477b	MI0016830	17	chr9	41233755	41233835	-	-
hsa-mir-4478	MI0016831	8	chr9	122120082	122120167	-	-
hsa-mir-3689c	MI0016832	3	chr9	134849298	134849369	-	-
hsa-mir-548x-2	MI0016833	27	chr13	65966330	65966429	-	-
hsa-mir-3689d-1	MI0016834	0	chr9	134849609	134849682	-	-
hsa-mir-3689d-2	MI0016835	0	chr9	134850277	134850356	-	-
hsa-mir-3689e	MI0016836	5	chr9	134850570	134850641	-	-
hsa-mir-3689f	MI0016837	3	chr9	134850742	134850807	-	-
hsa-mir-4479	MI0016838	29	chr9	136886733	136886803	+	-
hsa-mir-3155b	MI0016839	10	chr10	6152207	         6152262	-	-
hsa-mir-548ak	MI0016840	52	chr10	12130760	12130816	-	-
hsa-mir-4480	MI0016841	0	chr10	12578753	12578823	+	-
hsa-mir-4481	MI0016842	0	chr10	12653138	12653197	-	-
hsa-mir-4482	MI0016843	34	chr10	104268336	104268405	-	-
hsa-mir-4483	MI0016844	0	chr10	113777993	113778054	-	-
hsa-mir-4484	MI0016845	182	chr10	125819740	125819822	+	-
hsa-mir-4485	MI0016846	314	chr11	10508270	10508326	-	Low
hsa-mir-4486	MI0016847	1	chr11	19575310	19575372	+	-
hsa-mir-4487	MI0016848	34	chr11	47400970	47401042	+	-
hsa-mir-4488	MI0016849	47	chr11	61508596	61508657	+	-
hsa-mir-4489	MI0016850	3	chr11	65649192	65649253	+	-
hsa-mir-548al	MI0016851	45	chr11	74399237	74399333	+	-
hsa-mir-4490	MI0016852	0	chr11	90555774	90555857	-	-
hsa-mir-4491	MI0016853	10	chr11	111347757	111347824	+	-
hsa-mir-4492	MI0016854	31	chr11	118910708	118910787	+	-
hsa-mir-4493	MI0016855	3	chr11	123381440	123381512	-	-
hsa-mir-4494	MI0016856	0	chr12	47364186	47364269	-	-
hsa-mir-4495	MI0016857	0	chr12	97939056	97939121	-	-
hsa-mir-4496	MI0016858	2	chr12	108635810	108635870	+	-
hsa-mir-4497	MI0016859	106	chr12	109833348	109833436	+	-
hsa-mir-4498	MI0016860	16	chr12	120155434	120155499	-	-
hsa-mir-4499	MI0016862	0	chr13	20433778	20433846	-	-
hsa-mir-4500	MI0016863	2	chr13	87618665	87618740	-	-
hsa-mir-4501	MI0016864	12	chr13	96427229	96427292	+	-
hsa-mir-4502	MI0016865	6	chr13	114273828	114273908	+	-
hsa-mir-4503	MI0016866	3	chr14	36952309	36952391	-	-
hsa-mir-4504	MI0016867	12	chr14	50299855	50299946	-	-
hsa-mir-4505	MI0016868	4	chr14	73758747	73758819	+	-
hsa-mir-4506	MI0016869	3	chr14	93948226	93948302	-	-
hsa-mir-2392	MI0016870	3	chr14	100814491	100814574	+	-
hsa-mir-4507	MI0016871	1	chr14	105858124	105858175	-	-
hsa-mir-4508	MI0016872	81	chr15	23562062	23562131	-	-
hsa-mir-4509-1	MI0016873	3	chr15	23197827	23197920	+	-
hsa-mir-4509-2	MI0016874	3	chr15	28426491	28426584	+	-
hsa-mir-4509-3	MI0016875	3	chr15	28490752	28490845	-	-
hsa-mir-4510	MI0016876	12	chr15	35926856	35926923	+	-
hsa-mir-4511	MI0016877	17	chr15	65719246	65719332	-	-
hsa-mir-4512	MI0016878	12	chr15	66496958	66497034	-	-
hsa-mir-4513	MI0016879	3	chr15	74788672	74788757	-	-
hsa-mir-4514	MI0016880	0	chr15	80997417	80997473	-	-
hsa-mir-4515	MI0016881	11	chr15	83067335	83067415	+	-
hsa-mir-4516	MI0016882	147	chr16	2133119	         2133204	+	-
hsa-mir-4517	MI0016883	93	chr16	28958583	28958661	+	-
hsa-mir-4518	MI0016884	10	chr16	30503919	30504001	+	-
hsa-mir-4519	MI0016885	14	chr16	30875266	30875323	-	-
hsa-mir-4520-1	MI0016886	13	chr17	6655440	         6655509	-	-
hsa-mir-4521	MI0016887	2192	chr17	8186945  	8187004	        +	-
hsa-mir-1269b	MI0016888	94	chr17	12917268	12917342	-	-
hsa-mir-4522	MI0016889	11	chr17	27293910	27293996	-	-
hsa-mir-4523	MI0016890	10	chr17	29390662	29390730	+	-
hsa-mir-4524a	MI0016891	17	chr17	69099564	69099632	-	High
hsa-mir-4525	MI0016892	62	chr17	82668233	82668307	-	-
hsa-mir-4526	MI0016893	6	chr18	13611114	13611200	+	-
hsa-mir-4527	MI0016894	1	chr18	47380496	47380565	+	-
hsa-mir-4528	MI0016895	0	chr18	53237101	53237190	+	-
hsa-mir-4529	MI0016896	7	chr18	55479221	55479298	+	-
hsa-mir-4530	MI0016897	39	chr19	39409623	39409678	-	-
hsa-mir-4531	MI0016898	1	chr19	44653686	44653732	-	-
hsa-mir-4533	MI0016900	4	chr20	60478111	60478181	+	-
hsa-mir-4534	MI0016901	0	chr22	37988794	37988853	+	-
hsa-mir-378i	MI0016902	24	chr22	41923222	41923297	-	-
hsa-mir-4535	MI0016903	0	chr22	48780295	48780353	+	-
hsa-mir-548am	MI0016904	141	chrX	16627012	16627085	-	High
hsa-mir-1587	MI0016905	1	chrX	39837561	39837613	+	-
hsa-mir-4536-1	MI0016906	23	chrX	55451495	55451582	-	-
hsa-mir-548an	MI0016907	55	chrX	106639814	106639896	+	-
hsa-mir-4537	MI0016908	2	chr14	105859484	105859553	-	-
hsa-mir-4538	MI0016909	1	chr14	105858165	105858242	-	-
hsa-mir-4539	MI0016910	1	chr14	105857513	105857572	-	-
hsa-mir-4540	MI0016911	0	chr9	36864254	36864308	-	-
hsa-mir-3960	MI0016964	82	chr9	127785833	127785923	+	-
hsa-mir-3972	MI0016990	0	chr1	17277889	17277975	+	-
hsa-mir-3973	MI0016991	0	chr11	36010098	36010204	+	-
hsa-mir-3974	MI0016992	0	chr12	17673299	17673394	+	-
hsa-mir-3975	MI0016993	0	chr18	35591737	35591806	+	-
hsa-mir-3976	MI0016994	7	chr18	5840695	         5840833	+	-
hsa-mir-3977	MI0016995	-	chr5	82840155	82840224	+	-
hsa-mir-3978	MI0016996	1	chrX	110082118	110082218	+	-
hsa-mir-4632	MI0017259	4	chr1	12191713	12191773	+	-
hsa-mir-4633	MI0017260	23	chr5	129097688	129097766	+	-
hsa-mir-4634	MI0017261	7	chr5	174751734	174751787	+	-
hsa-mir-4635	MI0017262	3	chr5	1062896	         1062974	-	-
hsa-mir-4636	MI0017263	14	chr5	9053816	         9053895	-	-
hsa-mir-4637	MI0017264	5	chr5	14825929	14826012	-	-
hsa-mir-4638	MI0017265	8	chr5	181222566	181222633	-	-
hsa-mir-4639	MI0017266	9	chr6	16141556	16141624	+	-
hsa-mir-4640	MI0017267	26	chr6	30890883	30890972	+	-
hsa-mir-4641	MI0017268	4	chr6	41598723	41598788	+	-
hsa-mir-4642	MI0017269	6	chr6	44435641	44435722	+	-
hsa-mir-4643	MI0017270	16	chr6	91521660	91521737	+	-
hsa-mir-4644	MI0017271	25	chr6	170330761	170330844	+	-
hsa-mir-4645	MI0017272	9	chr6	2854031	         2854107	-	-
hsa-mir-4646	MI0017273	12	chr6	31701029	31701091	-	-
hsa-mir-4647	MI0017274	30	chr6	44254206	44254285	-	-
hsa-mir-4648	MI0017275	1	chr7	2527074 	2527145 	+	-
hsa-mir-4649	MI0017276	10	chr7	44110849	44110912	+	-
hsa-mir-4650-1	MI0017277	3	chr7	67114322	67114397	-	-
hsa-mir-4650-2	MI0017278	3	chr7	72697903	72697978	+	-
hsa-mir-4651	MI0017279	5	chr7	75915197	75915269	+	-
hsa-mir-4652	MI0017280	23	chr7	93716928	93717005	+	-
